gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
SAMSN1,0.23349983875425873,Kupffer_cells,1,1.1091573265709354,0.0374222658594217,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09669996775085175,LOW,885
P2RY14,0.2334508004794711,Scar-associated_macrophages,1,1.1316018231387772,0.0420556203422764,0.0,2,Interferon Gamma Response,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09669016009589422,LOW,886
G3BP2,0.23248255781099303,Kupffer_cells,1,0.909588561068258,0.0140151779593239,0.0,2,Adipogenesis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09649651156219861,LOW,887
ZNF521,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.29772132338157614,0.4789703226506341,True,0.14559040514064775,False,0.0962688916164912,LOW,888
RFK,0.23088173551987384,Kupffer_cells,1,0.8740434029135333,0.0124248097590599,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09617634710397477,LOW,889
DDX3X,0.23063215927593317,Kupffer_cells,1,0.9277757584661056,0.0165140876923605,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09612643185518664,LOW,890
SUSD3,0.330527283971287,CD4_T_cells; CD8_T_cells,2,1.3792635743935722,0.0057429724442102,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.0961054567942574,LOW,891
GZMA,0.0,,0,0.0,1.0,0.14,14,Complement; Allograft Rejection; Interferon Gamma Response,0.5,20,GZMA-F2R; GZMA-PARD3,0.0,0.0,0.0,False,0.0,False,0.096,LOW,892
CCDC88B,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.2930033334551833,0.4606945469989947,True,0.15132075541011325,False,0.09594894667531281,LOW,893
MRPS6,0.2289608192651938,NK_T_cells,1,0.8949347900516132,0.0148843654133188,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09579216385303876,LOW,894
LPCAT2,0.22841669955992064,Kupffer_cells,1,0.8953612617123515,0.0152316411721999,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09568333991198413,LOW,895
FMNL3,0.2283697335759684,Scar-associated_macrophages,1,1.0985736470646463,0.0431630917076437,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09567394671519369,LOW,896
MIR181A1HG,0.22792539678843837,Scar-associated_macrophages,1,1.0382415383386534,0.0322438435603417,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.09558507935768767,LOW,897
