gene_symbol,de_score,de_celltypes,n_de_celltypes,max_log2fc,min_padj,pathway_score,n_pathways,pathway_names,lr_score,n_lr_interactions,lr_pairs,specificity_score,genetic_score,ot_genetic_score,has_genetic_evidence,druggability_score,convergence_bonus,composite_score,priority_tier,rank
COL4A2,0.27540820406575534,Scar-associated_endothelial_PLVAPpos,1,1.464790159203304,0.0462330461038509,0.15999999999999998,14,Epithelial Mesenchymal Transition; Complement; Myogenesis,0.5,20,COL4A2-CD93; COL4A2-ITGAV_ITGB8; COL4A2-CD44,0.5,0.0,0.0,False,0.0,False,0.20408164081315106,MEDIUM,214
MNDA,0.7690122306974525,Kupffer_cells,1,2.8139257321134203,2.730849598026929e-07,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.2038024461394905,MEDIUM,215
NBL1,0.5023819070734661,Myofibroblasts,1,2.3687345699086864,0.0193342848476114,0.02,6,Estrogen Response Late; Estrogen Response Early,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.20347638141469324,MEDIUM,216
COL21A1,0.39080053359482214,Scar-associated_endothelial_PLVAPpos,1,2.268080608287395,0.0336385217917959,0.0,0,,0.5,20,COL21A1-ITGA1_ITGB1; COL21A1-ITGA10_ITGB1; COL21A1-ITGA2_ITGB1,0.5,0.0,0.0,False,0.0,False,0.20316010671896445,MEDIUM,217
NNMT,0.789445461031019,Endothelial_capillary; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,3,3.2276655798173963,5.036703371842523e-05,0.1,6,Epithelial Mesenchymal Transition,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.2028890922062038,MEDIUM,218
TNFSF12,0.3867221432744461,Kupffer_cells,1,1.437792915520414,0.0005619870566186,0.0,0,,0.5,20,TNFSF12-TNFRSF12A; TNFSF12-CD163,0.5,0.0,0.0,False,0.0,False,0.20234442865488922,MEDIUM,219
IER3,0.43662649785175506,Kupffer_cells; Monocytes; Scar-associated_macrophages,3,1.2909015965212702,0.0006374018210059,0.3,36,Hypoxia; Glycolysis; p53 Pathway; Apoptosis; TNF-alpha Signaling via NF-kB,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.202325299570351,MEDIUM,220
IL7R,0.0,,0,0.0,1.0,0.1,6,KRAS Signaling Up; TNF-alpha Signaling via NF-kB; Inflammatory Response,0.0,0,,0.0,0.5708049872874548,0.8948799110767841,True,0.29675182472462125,False,0.2022140205305569,MEDIUM,221
ACVRL1,0.4550262844655799,Kupffer_cells; Vascular_smooth_muscle,2,2.356089313939824,0.0219490833426103,0.04,3,IL-6/JAK/STAT3 Signaling,0.5,20,TGFB1-ACVRL1; TGFB3-ACVRL1,0.3,0.0,0.0,False,0.0,False,0.202005256893116,MEDIUM,222
TMEM176B,0.6795958185045509,Kupffer_cells; Scar-associated_macrophages; Vascular_smooth_muscle,3,2.0776936477181445,1.5075307600700012e-05,0.24,12,KRAS Signaling Up; Xenobiotic Metabolism,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.20191916370091018,MEDIUM,223
IGFBP5,0.6431261536340728,Myofibroblasts; Sinusoidal_endothelial,2,7.0449280181233,0.0008362401312364,0.02,4,UV Response Dn; mTORC1 Signaling,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.20162523072681454,MEDIUM,224
MANBA,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.5823303221640775,0.8219176694339474,True,0.3712160782112373,False,0.20126499227270497,MEDIUM,225
COL1A2,0.29094339726060076,Vascular_smooth_muscle,1,1.5605772313220287,0.0415807943682411,0.12000000000000001,5,Epithelial Mesenchymal Transition; UV Response Dn,0.5,20,COL1A2-CD36; COL1A2-SDC1; COL1A2-CD44; COL1A2-FLT4; COL1A2-CD93,0.5,0.0,0.0,False,0.0,False,0.20118867945212016,MEDIUM,226
SDC3,0.3346110268809658,Kupffer_cells,1,1.3132465918287823,0.0021952061544145,0.06,6,Hypoxia; Apical Junction; Glycolysis,0.5,20,CXCL8-SDC3; COL5A1-SDC3; MDK-SDC3; FGF2-SDC3; ANGPTL4-SDC3,0.5,0.0,0.0,False,0.0,False,0.20092220537619315,MEDIUM,227
IL12A,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.5745883609627074,0.7937570766695271,True,0.3808305669269058,False,0.2007716752797127,MEDIUM,228
HEY1,0.8538322344578456,Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos,2,4.680630411562865,3.531140320771383e-07,0.0,4,Wnt-beta Catenin Signaling; Hedgehog Signaling,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.20076644689156914,MEDIUM,229
CFP,0.4165158505295097,Kupffer_cells; Sinusoidal_endothelial,2,1.6380681471117473,0.0021345445229847,0.08,13,Allograft Rejection; mTORC1 Signaling,0.5,20,CFP-NCR1,0.3,0.0,0.0,False,0.0,False,0.20030317010590193,MEDIUM,230
IMPDH1,0.37741755705256325,Sinusoidal_endothelial,1,2.2017496998861086,0.040039117192393,0.0,0,,0.0,0,,0.5,0.11874560902746603,0.0,False,0.29686402256866506,False,0.19969951705267894,MEDIUM,231
EGFL7,0.7473002316280558,Vascular_smooth_muscle,1,3.861267069898021,1.6280315097808182e-06,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19946004632561115,MEDIUM,232
IL1B,0.0,,0,0.0,1.0,0.4,14,KRAS Signaling Up; IL-6/JAK/STAT3 Signaling; Apoptosis; Inflammatory Response; Allograft Rejection,0.5,20,IL1B-IL1R1_IL1RAP; IL1B-SIGIRR; IL1B-ADRB2,0.0,0.12371578435956897,0.0,False,0.22057492088476316,False,0.19901518422260672,MEDIUM,233
MEG3,0.842645132120973,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,5.392362171123708,4.946156549215703e-07,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.19852902642419462,MEDIUM,234
KLRD1,0.3317849507764534,CD8_T_cells; T_cells_low_quality,2,1.670839307697709,0.0020845678289875,0.18,8,Allograft Rejection,0.5,20,B2M-KLRD1,0.3,0.0,0.0,False,0.0,False,0.19835699015529068,MEDIUM,235
CGNL1,0.7414205541404673,Scar-associated_endothelial_ACKR1pos,1,4.681260164773502,2.040128068449819e-06,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19828411082809344,MEDIUM,236
IGHA2,0.6383991035543821,B_cells; Myofibroblasts,2,4.085152497739916,0.0120057084153514,0.0,0,,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.19767982071087642,MEDIUM,237
ASGR1,0.25823994058334593,Monocytes; Scar-associated_macrophages,2,1.168221760405515,0.0452969723236188,0.0,0,,0.5,20,HP-ASGR1,0.7,0.0,0.0,False,0.0,False,0.19664798811666917,MEDIUM,238
PER2,0.6328883896236618,Myofibroblasts; Vascular_smooth_muscle,2,2.968689125393634,0.0403712247433829,0.0,0,,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.19657767792473235,MEDIUM,239
LTC4S,0.5415708544925277,CD4_T_cells; Monocytes,2,2.3155083644495997,0.0080362555484211,0.12000000000000001,20,Adipogenesis; Fatty Acid Metabolism,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.19631417089850556,MEDIUM,240
APLN,0.5809834533279851,Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,2,5.242041594167836,0.0073094899074693,0.09,6,Myogenesis; Inflammatory Response,0.0,0,,0.3,0.0704780494958401,0.0,False,0.12565648168608123,False,0.19616467529246925,MEDIUM,241
LAIR1,0.307399971331956,Kupffer_cells; Scar-associated_macrophages,2,1.01331271886655,0.0039285358323134,0.0,0,,0.5,20,LILRB4-LAIR1,0.3,0.056827314655429624,0.0,False,0.10131836045903402,False,0.19588457699910372,MEDIUM,242
HLA-DMA,0.18911879744570384,Kupffer_cells,1,0.7261268356519486,0.0289491110944233,0.21999999999999997,15,Allograft Rejection; Interferon Gamma Response,0.5,20,HLA-DMA-CD4,0.5,0.0,0.0,False,0.0,False,0.19582375948914077,MEDIUM,243
CCR2,0.0,,0,0.0,1.0,0.1,3,Allograft Rejection,1.0,20,CCL16-CCR2; MMP2-CCR2; CCL2-CCR2; MSMP-CCR2,0.0,0.05651552735167232,0.0,False,0.10495322708444482,False,0.19487186590058478,MEDIUM,244
CEBPB,0.42616140249144235,Kupffer_cells; Sinusoidal_endothelial; Vascular_smooth_muscle,3,1.8379241571503016,0.0146341511660373,0.53,22,Complement; Unfolded Protein Response; TNF-alpha Signaling via NF-kB,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.19473228049828847,MEDIUM,245
KRT7,0.47890181825364314,Sinusoidal_endothelial,1,3.1651362725773784,0.0484138584153188,0.0,0,,0.0,0,,0.5,0.09448966091711575,0.0,False,0.1684671813634171,False,0.19467285608452015,MEDIUM,246
S100A16,0.6233092116599953,Myofibroblasts; Vascular_smooth_muscle,2,2.4614944933524865,0.0033545808307096,0.0,0,,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.19466184233199907,MEDIUM,247
PROCR,0.2719441547155417,Vascular_smooth_muscle,1,1.4297061125061616,0.0441287998051518,0.1,9,p53 Pathway; Interferon Alpha Response,0.5,20,PROC-PROCR,0.5,0.0,0.0,False,0.0,False,0.19438883094310833,MEDIUM,248
RERG,0.4717013802805536,Myofibroblasts,1,2.266147021840975,0.030512248400066,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.19434027605611073,MEDIUM,249
SFRP1,0.4963068854674946,Scar-associated_endothelial_ACKR1pos,1,3.3494403632102427,0.0248247704992799,0.0,1,Epithelial Mesenchymal Transition,0.3,6,SFRP1-FZD6,0.5,0.0,0.0,False,0.0,False,0.1942613770934989,MEDIUM,250
ITGA10,0.33095419137916077,Sinusoidal_endothelial,1,1.843094729549892,0.0380069374403748,0.02,5,Apical Junction,0.5,20,CLEC11A-ITGA10,0.5,0.0,0.0,False,0.0,False,0.19419083827583217,MEDIUM,251
MARCKS,0.7528164313972917,Scar-associated_endothelial_PLVAPpos; Vascular_smooth_muscle,2,2.662359229174751,3.236266487331944e-06,0.09000000000000001,17,G2-M Checkpoint; TNF-alpha Signaling via NF-kB; Mitotic Spindle,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.19406328627945837,MEDIUM,252
ABCA1,0.2394029306858573,Kupffer_cells,1,1.1538521067194316,0.0375030810042252,0.14,12,Bile Acid Metabolism; Inflammatory Response; Adipogenesis; TNF-alpha Signaling via NF-kB; Protein Secretion,0.5,20,APOA1-ABCA1; LIN7C-ABCA1; FADD-ABCA1; APOE-ABCA1; PLTP-ABCA1,0.5,0.0,0.0,False,0.0,False,0.19388058613717146,MEDIUM,253
HTRA1,0.49384934467494607,Scar-associated_macrophages,1,4.742458827470848,0.0272799930547955,0.30000000000000004,12,Epithelial Mesenchymal Transition; Coagulation,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.1937698689349892,MEDIUM,254
STEAP4,0.39373980716230556,Myofibroblasts,1,1.778887189851925,0.030512248400066,0.1,5,Androgen Response,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.19374796143246112,MEDIUM,255
EFNB1,0.34310441650320794,Scar-associated_endothelial_ACKR1pos,1,1.8074690473507249,0.0198696831294951,0.0,0,,0.5,20,EFNB1-EPHB4; EFNB1-ERBB2; EFNB1-EPHB1; EFNB1-EPHA4; EFNB1-EPHB6,0.5,0.0,0.0,False,0.0,False,0.1936208833006416,MEDIUM,256
MCL1,0.19983285081240698,Kupffer_cells,1,0.9078687380066958,0.0486338410356235,0.6900000000000001,25,Spermatogenesis; Apoptosis; TNF-alpha Signaling via NF-kB,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19346657016248142,MEDIUM,257
MAP3K8,0.28978057566160464,Kupffer_cells,1,1.412283441247734,0.0203578254420016,0.5700000000000001,20,TNF-alpha Signaling via NF-kB; IL-2/STAT5 Signaling; IL-6/JAK/STAT3 Signaling,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19345611513232092,MEDIUM,258
COL14A1,0.3382919307393213,Vascular_smooth_muscle,1,1.6637721001917358,0.0114570415499975,0.0,0,,0.5,20,COL14A1-CD44; COL14A1-ITGA2_ITGB1; COL14A1-ITGA1_ITGB1,0.5,0.0,0.0,False,0.0,False,0.19265838614786424,MEDIUM,259
KRT86,0.7131732806010411,NK_T_cells,1,2.244046344424936,1.260515849904325e-07,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19263465612020825,MEDIUM,260
C5orf15,0.4602068806032495,Myofibroblasts,1,2.183299320159723,0.028841247166856,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.19204137612064992,MEDIUM,261
PCOLCE,0.6497007809996758,Vascular_smooth_muscle,1,2.756385359134201,1.9813191999449585e-05,0.08,1,Epithelial Mesenchymal Transition,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19194015619993515,MEDIUM,262
TNFRSF21,0.30427055311286477,Kupffer_cells,1,1.6519722591476813,0.0397991300879868,0.04,3,IL-2/STAT5 Signaling; IL-6/JAK/STAT3 Signaling,0.5,20,TNF-TNFRSF21; APP-TNFRSF21,0.5,0.0,0.0,False,0.0,False,0.19185411062257296,MEDIUM,263
PRKCDBP,0.7090152472324669,Sinusoidal_endothelial,1,3.2806198959694277,7.0753166228564505e-06,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.1918030494464934,MEDIUM,264
VCAM1,0.3035264845561527,Kupffer_cells,1,1.5551664191665706,0.024954601173264,0.04,9,Epithelial Mesenchymal Transition; Apical Junction; Interferon Gamma Response,0.5,20,VCAM1-ITGA4_ITGB7; VCAM1-ITGA4_ITGB1; VCAM1-ITGA9_ITGB1,0.5,0.0,0.0,False,0.0,False,0.19170529691123056,MEDIUM,265
LTBP4,0.8064190103037235,Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,3,3.2113544506215903,2.358890248514501e-05,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.19128380206074472,MEDIUM,266
HLA-DQB1,0.32953749358884615,pDC,1,1.3462305259222789,0.0031574161870485,0.0,0,,0.5,20,HLA-DQB1-LAG3; HLA-DQB1-CD4,0.5,0.0,0.0,False,0.0,False,0.19090749871776924,MEDIUM,267
IL12RB2,0.0,,0,0.0,1.0,0.02,3,Spermatogenesis,0.0,0,,0.0,0.5424488580028394,0.7643371109670685,True,0.34676384315957787,False,0.19062679097464652,MEDIUM,268
IL13RA2,0.686087454571126,Sinusoidal_endothelial,1,3.5499262951171087,1.705594383205917e-05,0.02,2,Spermatogenesis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19021749091422518,MEDIUM,269
PFKFB3,0.38528533007502974,Kupffer_cells,1,1.5170428671195495,0.0008908081945534,0.42,18,Hypoxia; Adipogenesis; TNF-alpha Signaling via NF-kB,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.19005706601500594,MEDIUM,270
SSTR1,0.5540204855031525,Scar-associated_endothelial_ACKR1pos,1,4.694375172432984,0.0027101411364176,0.0,0,,0.0,0,,0.5,0.049003452669386285,0.0,False,0.11300971296078414,False,0.1900064172120947,MEDIUM,271
ITGB1,0.23138481163822117,CD4_T_cells,1,1.1244843614309863,0.0438975830560262,0.12000000000000001,22,Epithelial Mesenchymal Transition; Apical Junction; Myogenesis; Pperoxisome,0.5,20,FGG-ITGB1; LGALS1-ITGB1,0.5,0.0,0.0,False,0.0,False,0.18927696232764424,MEDIUM,272
ETS1,0.0,,0,0.0,1.0,0.28,20,Hypoxia; KRAS Signaling Up; Allograft Rejection,0.0,0,,0.0,0.3954467972468811,0.471279917705004,True,0.3174228353262353,False,0.18847512461065555,LOW,273
ITGB2,0.25689654743680146,Kupffer_cells,1,1.1439074370630404,0.0182140868405392,0.08,11,KRAS Signaling Up; Allograft Rejection; mTORC1 Signaling,0.5,20,S100A8-ITGB2; S100A9-ITGB2; KNG1-ITGB2; HP-ITGB2,0.5,0.0,0.0,False,0.0,False,0.1883793094873603,LOW,274
GYPC,0.27649579265060964,Kupffer_cells,1,0.9444620823894468,0.0030941503764245,0.08,6,heme Metabolism; KRAS Signaling Up,0.0,0,,0.5,0.21803098177264493,0.3507655027907911,True,0.10662057594312345,False,0.18779999036475167,LOW,275
C2orf88,0.6880362432774918,Scar-associated_endothelial_ACKR1pos,1,5.022982830287714,1.5826903171772875e-05,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.18760724865549838,LOW,276
TINAGL1,0.5876874800116109,Myofibroblasts; Scar-associated_endothelial_PLVAPpos,2,2.473566570037514,0.003279284614672,0.0,0,,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.18753749600232217,LOW,277
LMCD1,0.7824652249689514,Scar-associated_endothelial_ACKR1pos; Vascular_smooth_muscle,2,2.71450706075876,1.502118521619153e-06,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.1864930449937903,LOW,278
KLF4,0.36243843214389326,Endothelial_capillary; Kupffer_cells,2,1.2917750578535758,0.0023939762829803,0.56,29,Estrogen Response Late; KRAS Signaling Up; p53 Pathway; Estrogen Response Early; TNF-alpha Signaling via NF-kB,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.18648768642877867,LOW,279
IGHG3,0.5402815057996596,CD4_T_cells; NK_T_cells,2,3.825572527814461,0.0302401015648674,0.0,0,,0.0,0,,0.3,0.09310863939504818,0.0,False,0.16600493521958745,False,0.1862342012916321,LOW,280
LYN,0.18961910346614574,Monocytes,1,0.5709807949416797,0.0431765116667386,0.32000000000000006,20,Complement; Apical Surface; UV Response Up; Inflammatory Response; Allograft Rejection,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.18592382069322916,LOW,281
LY6E,0.297177278029615,Vascular_smooth_muscle,1,1.4651509622453935,0.0200879858313882,0.5,20,Interferon Gamma Response; Inflammatory Response; Interferon Alpha Response,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.184435455605923,LOW,282
IL21R,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.5201455060026714,0.6990479790681425,True,0.3579773103408659,False,0.18373297305179773,LOW,283
SEMA6D,0.593654030869427,Sinusoidal_endothelial,1,3.5535831301509453,0.0005921514796826,0.0,0,,0.1,2,SEMA6D-PLXNA1_TREM2_TYROBP,0.5,0.0,0.0,False,0.0,False,0.18373080617388543,LOW,284
ABCB8,0.668601031694638,Sinusoidal_endothelial,1,2.8584206133181747,1.6169451168911445e-05,0.0,5,Adipogenesis,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.1837202063389276,LOW,285
IDH2,0.17140144004734592,Kupffer_cells,1,0.694758273372757,0.0486649864406961,0.6600000000000001,37,Estrogen Response Late; Bile Acid Metabolism; Oxidative Phosphorylation; Pperoxisome,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.18328028800946922,LOW,286
ATP2B1,0.22342104500068094,Kupffer_cells,1,1.042668951475915,0.0392064961072839,0.5900000000000001,21,UV Response Dn; TNF-alpha Signaling via NF-kB; Inflammatory Response,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.1831842090001362,LOW,287
ANXA3,0.6655193723352462,Scar-associated_endothelial_PLVAPpos,1,3.046469453843274,3.755580952509186e-05,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.18310387446704923,LOW,288
PODXL,0.28600161285245357,Sinusoidal_endothelial,1,1.5194009971602984,0.0407148756586253,0.0,5,Estrogen Response Early,0.5,20,SELL-PODXL; PODXL-SELL,0.5,0.0,0.0,False,0.0,False,0.18220032257049074,LOW,289
APOA1,0.0,,0,0.0,1.0,0.36000000000000004,12,Bile Acid Metabolism; Coagulation,0.5,20,APOA1-ABCA1; APOA1-LDLR; APOA1-LRP1,0.0,0.10262855622210508,0.0,False,0.18297815259704478,False,0.182103861945083,LOW,290
FEZ1,0.7293933058985065,CD4_T_cells; CD8_T_cells; Kupffer_cells; Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,5,2.7320434906941307,0.0006818115576146,0.04,6,Apoptosis,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.1818786611797013,LOW,291
MRPL34,0.19231561361657024,Kupffer_cells,1,0.8389143129055519,0.0456030407425239,0.62,15,Oxidative Phosphorylation,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.18146312272331405,LOW,292
RP11-1143G9.4,0.5555963018945017,Monocytes; pDC,2,3.284408532551752,0.0061145882370654,0.0,0,,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.18111926037890036,LOW,293
SH3BGRL3,0.40510262697200294,Myofibroblasts,1,1.7834461222980942,0.0217164199043346,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.1810205253944006,LOW,294
SRC,0.34634583759268506,Kupffer_cells,1,1.7896750140275588,0.0160186148797872,0.12000000000000001,7,Apical Junction; Complement,0.0,0,,0.5,0.0839596147879989,0.0,False,0.14969298772380651,False,0.18071301937410772,LOW,295
LAG3,0.2785289412263093,Kupffer_cells,1,1.2371480576375902,0.01279584248739,0.0,0,,0.5,20,HLA-DRB1-LAG3; HLA-DPB1-LAG3; HLA-DQA1-LAG3; HLA-DRB5-LAG3; HLA-DQB1-LAG3,0.5,0.0,0.0,False,0.0,False,0.18070578824526184,LOW,296
FCGR2B,0.6784520325815622,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,4.91790417826161,0.0002438318397144,0.1,7,Allograft Rejection,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.18069040651631244,LOW,297
SLC29A1,0.5601324905376301,Sinusoidal_endothelial,1,2.7589222893824514,0.0006243051419123,0.12000000000000001,15,Estrogen Response Late; Bile Acid Metabolism,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.18002649810752602,LOW,298
HBA2,0.6495529147896001,Sinusoidal_endothelial,1,8.790471428364837,6.93082213137278e-05,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.17991058295792,LOW,299
CX3CR1,0.27351761925973417,Scar-associated_macrophages,1,1.4023972487385858,0.0361252900615125,0.0,0,,0.5,20,CX3CL1-CX3CR1,0.5,0.0,0.0,False,0.0,False,0.17970352385194682,LOW,300
BST1,0.26994268963035195,Scar-associated_macrophages,1,1.3527354736107395,0.0321391216194699,0.0,0,,0.5,20,BST1-CAV1,0.5,0.0,0.0,False,0.0,False,0.1789885379260704,LOW,301
CCL23,0.2684541200521853,Sinusoidal_endothelial,1,1.3437793564610874,0.0325043146551576,0.0,0,,0.5,12,CCL23-FPR2; CCL23-ACKR2; CCL23-CCR1,0.5,0.0,0.0,False,0.0,False,0.17869082401043707,LOW,302
F5,0.553386186434862,Scar-associated_endothelial_ACKR1pos,1,4.216286608218598,0.0027769212214842,0.12000000000000001,31,G2-M Checkpoint; Cholesterol Homeostasis; UV Response Up; E2F Targets; Complement,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.17867723728697243,LOW,303
LRPAP1,0.2171249452141089,Kupffer_cells; Scar-associated_macrophages,2,0.8505429112389817,0.0398403789933299,0.2,5,Angiogenesis,0.5,20,LRPAP1-LDLR; LRPAP1-SORL1; LRPAP1-LRP1; LRPAP1-SORT1,0.3,0.0,0.0,False,0.0,False,0.17842498904282178,LOW,304
TOB1,0.5258035348935334,Myofibroblasts; Vascular_smooth_muscle,2,2.294526401011762,0.028841247166856,0.02,17,Estrogen Response Late; Adipogenesis; Estrogen Response Early; p53 Pathway,0.0,0,,0.7,0.0,0.0,False,0.0,False,0.17816070697870667,LOW,305
PRF1,0.3241682612862954,CD4_T_cells,1,1.2480501276786766,0.0023476879637738,0.18,13,Apoptosis; Allograft Rejection,0.0,0,,0.5,0.06938919744196834,0.0,False,0.12562915366002858,False,0.17802532466675547,LOW,306
GPR146,0.7384832408789571,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial; Vascular_smooth_muscle,3,3.26405402323217,0.0001886143054193,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.17769664817579142,LOW,307
TNFSF11,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.4895783364792091,0.6178141568534858,True,0.3671429104555669,False,0.17746602068813733,LOW,308
EFNA1,0.23167914024570052,Endothelial_capillary,1,1.0829333310726834,0.0350913041949899,0.04,9,Hypoxia; TNF-alpha Signaling via NF-kB,0.5,20,EFNA1-EPHA2; EFNA1-EPHA4; EFNA1-EPHA3; EFNA1-EPHB6,0.5,0.0,0.0,False,0.0,False,0.1773358280491401,LOW,309
IL34,0.4936058789292164,Scar-associated_endothelial_ACKR1pos,1,3.7400023616704794,0.0275360738570472,0.0,0,,0.0,0,,0.5,0.05528660571251236,0.0,False,0.09857140496786805,False,0.17732853795915157,LOW,310
FAM65B,0.3849633144488945,Monocytes,1,1.240265458628861,0.0025670407505279,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.1769926628897789,LOW,311
OIT3,0.6319107826059135,Scar-associated_endothelial_ACKR1pos,1,4.017869757541524,0.0001364018591909,0.0,0,,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.17638215652118272,LOW,312
MYLK,0.36637609294503665,Myofibroblasts,1,1.6154263914918727,0.0317160854364453,0.02,6,Epithelial Mesenchymal Transition; Adipogenesis; Myogenesis,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.17627521858900735,LOW,313
ATP13A3,0.7306065218848709,Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,2,3.2710840050164576,3.952490916589657e-05,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.17612130437697418,LOW,314
SULT1A1,0.553386186434862,Scar-associated_endothelial_ACKR1pos,1,3.571269661270991,0.0027769212214842,0.1,6,Adipogenesis; UV Response Up,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.17567723728697243,LOW,315
TNFSF15,0.0,,0,0.0,1.0,0.0,0,,0.0,0,,0.0,0.5040783325520308,0.7064742127607231,True,0.3250912543484296,False,0.17478327129027216,LOW,316
DGKG,0.6237790391435845,Scar-associated_endothelial_ACKR1pos,1,4.514341421971465,0.0001863585606988,0.0,3,Complement,0.0,0,,0.5,0.0,0.0,False,0.0,False,0.1747558078287169,LOW,317
FPR3,0.24816568497286653,Kupffer_cells,1,0.9801921283581126,0.0110181829716395,0.0,0,,0.5,20,HEBP1-FPR3,0.5,0.0,0.0,False,0.0,False,0.1746331369945733,LOW,318
SC5D,0.7074503167486841,Scar-associated_endothelial_ACKR1pos; Sinusoidal_endothelial,2,2.964734552544308,7.402097690782953e-05,0.02,14,Cholesterol Homeostasis; Apoptosis; mTORC1 Signaling,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.17449006334973682,LOW,319
TMSB10,0.3713976565635772,Myofibroblasts,1,1.6282416699117714,0.028841247166856,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.17427953131271545,LOW,320
RNASE2,0.5075734277155184,Cycling_cells,1,5.476105230522662,0.0161105192464404,0.0,0,,0.15,3,RNASE2-TLR2,0.5,0.0,0.0,False,0.0,False,0.17401468554310368,LOW,321
RAB13,0.3693150322523964,Monocytes,1,1.1036603228838802,0.0021047622572517,0.0,0,,0.0,0,,1.0,0.0,0.0,False,0.0,False,0.1738630064504793,LOW,322
ITM2C,0.7181164270400299,CD8_T_cells; NK_T_cells,2,2.544506494972787,5.9416484579039e-06,0.0,0,,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.17362328540800598,LOW,323
ACP5,0.6991070506894932,Scar-associated_endothelial_ACKR1pos; Scar-associated_endothelial_PLVAPpos; Sinusoidal_endothelial,3,4.570005169167227,0.0001192286572355,0.02,3,heme Metabolism,0.0,0,,0.3,0.0,0.0,False,0.0,False,0.17282141013789865,LOW,324
